id,name,lat,lon
1,Ben Thanh,10.770644354908052, 106.69683362559744
2,Nha Hat Thanh Pho,10.774703141926668, 106.70157831129869
3,Ba Son,10.78212627894686, 106.70785799383601
4,Van Thanh,10.795946923952664, 106.715065530579
5,Tan Cang,10.798662167868917, 106.72328809568694
6,Thao Dien,10.80054333838126, 106.73368338061243
7,An Phu,10.802338678469015, 106.74269140679124
8,Rach Chiec,10.80872440879824, 106.7551816388217
9,Phuoc Long,10.822210405771477, 106.76073392416923
10,Binh Thai,10.83291370118789, 106.76382546553839
11,Thu Duc,10.846663129872617, 106.77157973828467
12,Khu Cong Nghe Cao,10.859049900335787, 106.78809776553872
13,Dai Hoc Quoc Gia,Tren 10.866494018531325, 106.80117919595659
14,Ben Xe Mien Dong Moi,10.88066738833578, 106.81488555362836
